idx, file, points, innov, ref
0, 0000000000.ply, 121015, 121015, 121015
1, 0000000001.ply, 121151, 6221, 127236
2, 0000000002.ply, 121483, 4836, 132072
3, 0000000003.ply, 121604, 4005, 136077
4, 0000000004.ply, 121779, 3019, 139096
5, 0000000005.ply, 121948, 2012, 141108
6, 0000000006.ply, 121848, 1950, 143058
7, 0000000007.ply, 121997, 1762, 144820
8, 0000000008.ply, 122227, 812, 145632
9, 0000000009.ply, 122402, 750, 146382
10, 0000000010.ply, 122486, 810, 147192
11, 0000000011.ply, 122554, 738, 147930
12, 0000000012.ply, 122460, 799, 148729
13, 0000000013.ply, 122566, 793, 149522
14, 0000000014.ply, 122501, 502, 150024
15, 0000000015.ply, 122455, 638, 150662
16, 0000000016.ply, 122296, 753, 151415
17, 0000000017.ply, 122260, 633, 152048
18, 0000000018.ply, 122219, 660, 152708
19, 0000000019.ply, 121870, 507, 153215
20, 0000000020.ply, 121860, 515, 153730
21, 0000000021.ply, 121514, 613, 154343
22, 0000000022.ply, 121316, 541, 154884
23, 0000000023.ply, 121321, 632, 155516
24, 0000000024.ply, 121180, 590, 156106
25, 0000000025.ply, 121376, 515, 156621
26, 0000000026.ply, 121544, 555, 157176
27, 0000000027.ply, 121556, 529, 157705
28, 0000000028.ply, 121524, 621, 158326
29, 0000000029.ply, 121340, 607, 158933
30, 0000000030.ply, 121129, 520, 159453
31, 0000000031.ply, 121214, 604, 160057
32, 0000000032.ply, 121239, 663, 160720
33, 0000000033.ply, 121237, 522, 161242
34, 0000000034.ply, 121266, 721, 161963
35, 0000000035.ply, 121210, 713, 162676
36, 0000000036.ply, 121194, 629, 163305
37, 0000000037.ply, 121197, 548, 163853
38, 0000000038.ply, 121378, 619, 164472
39, 0000000039.ply, 121535, 618, 165090
40, 0000000040.ply, 121587, 502, 165592
41, 0000000041.ply, 121467, 489, 166081
42, 0000000042.ply, 121387, 553, 166634
43, 0000000043.ply, 121230, 631, 167265
44, 0000000044.ply, 121149, 558, 167823
45, 0000000045.ply, 121226, 573, 168396
46, 0000000046.ply, 121463, 621, 169017
47, 0000000047.ply, 121505, 614, 169631
48, 0000000048.ply, 121607, 613, 170244
49, 0000000049.ply, 121875, 548, 170792
50, 0000000050.ply, 121799, 531, 171323
51, 0000000051.ply, 121735, 559, 171882
52, 0000000052.ply, 121740, 575, 172457
53, 0000000053.ply, 121923, 544, 173001
54, 0000000054.ply, 121937, 635, 173636
55, 0000000055.ply, 122072, 607, 174243
56, 0000000056.ply, 122170, 509, 174752
57, 0000000057.ply, 122223, 706, 175458
58, 0000000058.ply, 122415, 630, 176088
59, 0000000059.ply, 122405, 655, 176743
60, 0000000060.ply, 122421, 725, 177468
61, 0000000061.ply, 122306, 954, 178422
62, 0000000062.ply, 122266, 835, 179257
63, 0000000063.ply, 122270, 855, 180112
64, 0000000064.ply, 122376, 842, 180954
65, 0000000065.ply, 122474, 850, 181804
66, 0000000066.ply, 122627, 835, 182639
67, 0000000067.ply, 122763, 923, 183562
68, 0000000068.ply, 122850, 722, 184284
69, 0000000069.ply, 122945, 679, 184963
70, 0000000070.ply, 122973, 751, 185714
71, 0000000071.ply, 123038, 589, 186303
72, 0000000072.ply, 123007, 736, 187039
73, 0000000073.ply, 123012, 560, 187599
74, 0000000074.ply, 123048, 527, 188126
75, 0000000075.ply, 123092, 410, 188536
76, 0000000076.ply, 122965, 482, 189018
77, 0000000077.ply, 123029, 456, 189474
78, 0000000078.ply, 123006, 573, 190047
79, 0000000079.ply, 123026, 491, 190538
80, 0000000080.ply, 123176, 411, 190949
81, 0000000081.ply, 123136, 376, 191325
82, 0000000082.ply, 123152, 483, 191808
83, 0000000083.ply, 123109, 504, 192312
84, 0000000084.ply, 123053, 404, 192716
85, 0000000085.ply, 123124, 364, 193080
86, 0000000086.ply, 123033, 422, 193502
87, 0000000087.ply, 122955, 273, 193775
88, 0000000088.ply, 122978, 299, 194074
89, 0000000089.ply, 122919, 440, 194514
90, 0000000090.ply, 122987, 503, 195017
91, 0000000091.ply, 123040, 430, 195447
92, 0000000092.ply, 123020, 421, 195868
93, 0000000093.ply, 123127, 450, 196318
94, 0000000094.ply, 123140, 411, 196729
95, 0000000095.ply, 123162, 374, 197103
96, 0000000096.ply, 123253, 440, 197543
97, 0000000097.ply, 123259, 484, 198027
98, 0000000098.ply, 123174, 466, 198493
99, 0000000099.ply, 123181, 341, 198834
100, 0000000100.ply, 123118, 441, 199275
101, 0000000101.ply, 123014, 401, 199676
102, 0000000102.ply, 122964, 402, 200078
103, 0000000103.ply, 122876, 481, 200559
104, 0000000104.ply, 122718, 497, 201056
105, 0000000105.ply, 122543, 469, 201525
106, 0000000106.ply, 122669, 414, 201939
107, 0000000107.ply, 98322, 410, 202349
